Latitude,Longitude,Timestamp
39.9770666,116.3280633,2008-05-31 01:52:38
39.9770666,116.3280583,2008-05-31 01:52:39
39.9770949,116.3280299,2008-05-31 01:52:41
39.976985,116.3277233,2008-05-31 01:52:54
39.97697,116.327675,2008-05-31 01:52:56
39.9769233,116.3276149,2008-05-31 01:52:58
39.9769083,116.3275949,2008-05-31 01:53:00
39.9769,116.3275783,2008-05-31 01:53:02
39.9768833,116.3275249,2008-05-31 01:53:08
39.9768583,116.3275033,2008-05-31 01:53:10
39.9768216,116.3275,2008-05-31 01:53:14
39.9768083,116.3275366,2008-05-31 01:53:21
39.9767816,116.3275433,2008-05-31 01:53:25
39.9767933,116.3275383,2008-05-31 01:53:29
39.97679,116.3275083,2008-05-31 01:53:33
39.97679,116.3274849,2008-05-31 01:53:35
39.976765,116.3274783,2008-05-31 01:53:37
39.9767216,116.3274916,2008-05-31 01:53:39
39.976675,116.3274916,2008-05-31 01:53:41
39.9766449,116.3274983,2008-05-31 01:53:43
39.9766033,116.3274833,2008-05-31 01:53:45
39.9765133,116.3274849,2008-05-31 01:53:48
39.9764533,116.327515,2008-05-31 01:53:51
39.9764116,116.3275066,2008-05-31 01:53:53
39.9763749,116.3274833,2008-05-31 01:53:55
39.9763583,116.3274699,2008-05-31 01:53:57
39.9763583,116.327465,2008-05-31 01:53:59
39.97633,116.3274749,2008-05-31 01:54:01
39.9763066,116.3274833,2008-05-31 01:54:03
39.9759816,116.3274133,2008-05-31 01:54:06
39.9759516,116.3274049,2008-05-31 01:54:08
39.9759333,116.3273999,2008-05-31 01:54:10
39.9759183,116.3274066,2008-05-31 01:54:12
39.9759083,116.3274249,2008-05-31 01:54:14
39.9758933,116.3274366,2008-05-31 01:54:16
39.9758716,116.3274333,2008-05-31 01:54:18
39.8666083,116.48457,2008-05-31 09:44:02
39.8665716,116.4845233,2008-05-31 09:44:04
39.8665949,116.48445,2008-05-31 09:44:06
39.8665483,116.4844599,2008-05-31 09:44:08
39.8664566,116.4844083,2008-05-31 09:44:12
39.86646,116.4844316,2008-05-31 09:44:14
39.86646,116.4844266,2008-05-31 09:44:18
39.8664583,116.4844249,2008-05-31 09:44:22
39.8664583,116.4844249,2008-05-31 09:44:26
39.8664583,116.4844249,2008-05-31 09:44:30
39.8664583,116.4844249,2008-05-31 09:44:34
39.8664583,116.4844249,2008-05-31 09:44:38
39.8664583,116.4844249,2008-05-31 09:44:42
39.8664583,116.4844249,2008-05-31 09:44:46
39.8664583,116.4844249,2008-05-31 09:44:50
39.8664583,116.4844249,2008-05-31 09:44:54
39.8664583,116.4844249,2008-05-31 09:44:58
39.8664583,116.4844249,2008-05-31 09:45:02
39.8664583,116.4844249,2008-05-31 09:45:04
39.8664583,116.4844249,2008-05-31 09:45:06
39.86645,116.4844533,2008-05-31 09:45:10
39.8664433,116.4845,2008-05-31 09:45:12
39.8664449,116.4844916,2008-05-31 09:45:14
39.8664533,116.4844599,2008-05-31 09:45:16
39.86645,116.4844549,2008-05-31 09:45:20
39.8664449,116.4844599,2008-05-31 09:45:24
39.8664433,116.4844616,2008-05-31 09:45:26
39.8664066,116.4844466,2008-05-31 09:45:30
39.8663866,116.4844883,2008-05-31 09:45:32
39.86638,116.4844983,2008-05-31 09:45:34
39.8663533,116.4845099,2008-05-31 09:45:36
39.866325,116.4845283,2008-05-31 09:45:38
39.8663133,116.4845416,2008-05-31 09:45:40
39.8663066,116.4845733,2008-05-31 09:45:42
